game_id,ply,side_to_move,score_ai,winner,predicted_winner
7,41,ai,1.0,player,ai
7,42,player,1.0,player,ai
7,43,ai,1.0,player,ai
7,44,player,1.0,player,ai
7,45,ai,1.0,player,ai
7,46,player,1.0,player,ai
7,47,ai,1.0,player,ai
7,48,player,1.0,player,ai
7,49,ai,1.0,player,ai
7,50,player,0.9999993443489075,player,ai
7,51,ai,0.9999996423721313,player,ai
7,52,player,1.0,player,ai
7,53,ai,1.0,player,ai
7,54,player,1.0,player,ai
7,55,ai,1.0,player,ai
7,56,player,1.0,player,ai
7,57,ai,1.0,player,ai
7,58,player,1.0,player,ai
7,59,ai,1.0,player,ai
7,60,player,1.0,player,ai
7,61,ai,1.0,player,ai
7,62,player,1.0,player,ai
7,63,ai,1.0,player,ai
7,64,player,1.0,player,ai
7,65,ai,1.0,player,ai
7,66,player,1.0,player,ai
7,67,ai,1.0,player,ai
7,68,player,1.0,player,ai
7,69,ai,0.9999992847442627,player,ai
7,70,player,1.0,player,ai
7,71,ai,1.0,player,ai
7,72,player,1.0,player,ai
7,73,ai,1.0,player,ai
7,74,player,1.0,player,ai
8,0,player,1.0,player,ai
8,1,ai,1.0,player,ai
8,2,player,1.0,player,ai
8,3,ai,1.0,player,ai
8,4,player,1.0,player,ai
8,5,ai,1.0,player,ai
8,6,player,1.0,player,ai
8,7,ai,1.0,player,ai
8,8,player,1.0,player,ai
8,9,ai,1.0,player,ai
8,10,player,1.0,player,ai
8,11,ai,1.0,player,ai
8,12,player,1.0,player,ai
8,13,ai,1.0,player,ai
8,14,player,1.0,player,ai
8,15,ai,1.0,player,ai
8,16,player,1.0,player,ai
8,17,ai,1.0,player,ai
8,18,player,1.0,player,ai
8,19,ai,1.0,player,ai
8,20,player,1.0,player,ai
8,21,ai,1.0,player,ai
8,22,player,1.0,player,ai
8,23,ai,1.0,player,ai
8,24,player,1.0,player,ai
8,25,ai,1.0,player,ai
8,26,player,1.0,player,ai
8,27,ai,1.0,player,ai
8,28,player,1.0,player,ai
8,29,ai,1.0,player,ai
8,30,player,1.0,player,ai
8,32,ai,1.0,player,ai
8,33,player,1.0,player,ai
8,34,ai,1.0,player,ai
8,35,player,1.0,player,ai
8,36,ai,1.0,player,ai
8,37,player,1.0,player,ai
8,39,ai,1.0,player,ai
8,40,player,1.0,player,ai
8,41,ai,1.0,player,ai
8,42,player,1.0,player,ai
9,0,player,1.0,ai,ai
9,1,ai,1.0,ai,ai
9,2,player,1.0,ai,ai
9,3,ai,1.0,ai,ai
9,4,player,1.0,ai,ai
9,5,ai,1.0,ai,ai
9,6,player,1.0,ai,ai
9,7,ai,1.0,ai,ai
9,8,player,1.0,ai,ai
9,9,ai,1.0,ai,ai
9,10,player,1.0,ai,ai
9,11,ai,1.0,ai,ai
9,12,player,1.0,ai,ai
9,13,ai,1.0,ai,ai
9,14,player,1.0,ai,ai
9,15,ai,1.0,ai,ai
9,16,player,1.0,ai,ai
9,17,ai,1.0,ai,ai
9,18,player,1.0,ai,ai
